cityLabel,countryLabel,population
Limbe,Cameroon,44561
Robe,Ethiopia,44382
Kumba,Cameroon,44175
Lodwar,Kenya,44153
Korogwe,Tanzania,44000
Murzuk,Libya,43732
Batu,Ethiopia,43660
Bouknadel,Morocco,43598
Gabu,Guinea-Bissau,43556
Suakin,Anglo-Egyptian occupation of Sudan,43337
Suakin,Sudan,43337
Gode,Ethiopia,43234
Brak,Libya,43100
Taibe,Ottoman Empire,43100
Sangalkam,Senegal,43015
Lomé,Togo,43000
Garbahaareey,Somalia,43000
Mbuji-Mayi,Democratic Republic of the Congo,42864
Sébikotane,Senegal,42839
El Badari,Egypt,42770
Meru,Kenya,42677
Quinhámel,Guinea-Bissau,42659
Fianga,Chad,42606
Hwange,Zimbabwe,42581
Mampong,Ghana,42037
Nakonde,Zambia,41836
Beitbridge,Zimbabwe,41767
Boumerdès,Algeria,41685
Jaxaay-Parcelles-Niakoul Rab,Senegal,41570
Lindi,Tanzania,41549
Bambari,Central African Republic,41356
Embu,Kenya,41092
Niefang,Equatorial Guinea,41084
Jerada,Morocco,41014
Erigavo,Somalia,41000
El Aioun Sidi Mellouk,Morocco,40652
Deir Mawas,Egypt,40640
Boujad,Morocco,40513
Bouar,Central African Republic,40353
Smara,Morocco,40347
Smara,Western Sahara,40347
Kabuga,Rwanda,40202
Mokolo,Cameroon,40168
Gourcy,Burkina Faso,40144
Aweil,South Sudan,40054
Moroni,Comoros,40050
Makeni,Sierra Leone,40038
Herakleopolis Magna,Egypt,40001
New Asyut,Egypt,40000
Ngozi,Burundi,39884
Koumra,Chad,39852
Massawa,Eritrea,39758
Oshakati,Namibia,39679
Ouésso,Republic of the Congo,39653
Impfondo,Republic of the Congo,39653
Singida,Tanzania,39598
Taounate,Morocco,39114
Pala,Chad,38975
Al-Jamāliyah,Egypt,38908
Yako,Burkina Faso,38689
Dabola,Guinea,38617
Daraw,Egypt,38400
Am Timan,Chad,38261
Ali Sabieh,Djibouti,37939
al-Wasta,Egypt,37916
Waliso,Ethiopia,37878
Bossangoa,Central African Republic,37780
Kumba,Cameroon,37663
Kisii,Kenya,37531
Ben Slimane,Morocco,36977
Tabligbo,Togo,36961
Faraskur,Egypt,36850
Agogo,Ghana,36797
Zaio,Morocco,36766
Ebibeyin,Equatorial Guinea,36565
Songo,Mozambique,36523
Mamfe,Cameroon,36500
Bossangoa,Central African Republic,36478
Liwonde,Malawi,36421
Byumba,Rwanda,36401
Nouaceur,Morocco,36326
Palapye,Botswana,36211
Marandallah,Ivory Coast,36074
Asilah,Morocco,36039
Timbuktu,Mali,35330
